seqnames	start	end	width	strand	fold_change	FDR	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	gene_symbol
chr19	1665665	1668997	3333	*	0.890520420457919	0.000192954475112477	Distal Intergenic	19	1609292	1652615	43324	2	6929	ENST00000588136.7	-13050	ENSG00000071564	TCF3	transcription factor 3	TCF3
chr7	2699337	2703645	4309	*	0.872525515481452	0.000192990582592748	Promoter (<=1kb)	7	2702021	2709189	7169	1	155185	ENST00000485540.5	0	ENSG00000174945	AMZ1	archaelysin family metallopeptidase 1	AMZ1
chr6	166474780	166476766	1987	*	0.959330006165266	0.000193207556689943	Exon (ENST00000366865.1/6196, exon 8 of 8)	6	166460663	166465383	4721	2	100874353	ENST00000416770.1	-9397	ENSG00000232082	RPS6KA2-IT1	RPS6KA2 intronic transcript 1	RPS6KA2-IT1
chr14	100728966	100730438	1473	*	0.93216547633234	0.000193464865293325	Promoter (1-2kb)	14	100727030	100729234	2205	1	8788	ENST00000556051.1	1936	ENSG00000185559	DLK1	delta like non-canonical Notch ligand 1	DLK1
chr7	100757343	100760752	3410	*	0.866468430713364	0.000193900850294968	Exon (ENST00000613979.5/7455, exon 16 of 48)	7	100734021	100797796	63776	1	7455	ENST00000618565.4	23322	ENSG00000146839	ZAN	zonadhesin	ZAN
chr17	79560304	79564254	3951	*	0.773219346088117	0.000194000012181896	Intron (ENST00000693108.1/146713, intron 1 of 14)	17	79598032	79603921	5890	2	146713	ENST00000571452.1	39667	ENSG00000167281	RBFOX3	RNA binding fox-1 homolog 3	RBFOX3
chr21	45928560	45933151	4592	*	0.77670853214738	0.000194038475598695	Exon (ENST00000400314.5/54039, exon 12 of 16)	21	45914296	45919483	5188	1	54039	ENST00000626237.1	14264	ENSG00000183570	PCBP3	poly(rC) binding protein 3	PCBP3
chr8	144422938	144424856	1919	*	0.960633201511473	0.000194347917458829	Promoter (2-3kb)	8	144423617	144426983	3367	2	51160	ENST00000526054.5	2127	ENSG00000160948	VPS28	VPS28 subunit of ESCRT-I	VPS28
chr12	51895189	51900933	5745	*	0.823090418244704	0.000194347917458829	Exon (ENST00000552112.1/ENST00000552112.1, exon 1 of 1)	12	51890540	51891664	1125	1	341405	ENST00000550652.1	4649	ENSG00000167612	ANKRD33	ankyrin repeat domain 33	ANKRD33
chr19	16284372	16287776	3405	*	0.764326082017331	0.000194461255982832	Intron (ENST00000588799.1/ENST00000588799.1, intron 1 of 1)	19	16324826	16328685	3860	1	10365	ENST00000248071.6	-37050	ENSG00000127528	KLF2	KLF transcription factor 2	KLF2
chr5	132759584	132761995	2412	*	0.977614182653529	0.000194513087445988	Promoter (<=1kb)	5	132751459	132760871	9413	2	23176	ENST00000481030.1	0	ENSG00000164402	SEPTIN8	septin 8	SEPTIN8
chr2	10828429	10834602	6174	*	0.804643025059664	0.000194513087445988	Promoter (<=1kb)	2	10783393	10832485	49093	2	10130	ENST00000381611.8	0	ENSG00000143870	PDIA6	protein disulfide isomerase family A member 6	PDIA6
chr19	35509694	35514205	4512	*	0.806291932185714	0.00019468509600024	Promoter (<=1kb)	19	35497220	35510211	12992	2	93099	ENST00000434389.5	0	ENSG00000161249	DMKN	dermokine	DMKN
chr1	3214905	3221057	6153	*	0.753943343628477	0.000194823522100597	Intron (ENST00000511072.5/63976, intron 2 of 15)	1	3237931	3433925	195995	1	63976	ENST00000512462.5	-16874	ENSG00000142611	PRDM16	PR/SET domain 16	PRDM16
chr4	185013355	185016658	3304	*	0.814571594375438	0.000194856207834364	Promoter (1-2kb)	4	185018490	185020953	2464	1	391723	ENST00000515777.6	-1832	ENSG00000187821	HELT	helt bHLH transcription factor	HELT
chr9	124038967	124042513	3547	*	0.830353809595558	0.000194897064290879	Distal Intergenic	9	124015397	124033301	17905	1	9355	ENST00000488674.2	23570	ENSG00000106689	LHX2	LIM homeobox 2	LHX2
chr1	201067559	201069522	1964	*	0.90202793446527	0.000195302263625103	3' UTR	1	201042553	201062493	19941	2	779	ENST00000680051.1	-5066	ENSG00000081248	CACNA1S	calcium voltage-gated channel subunit alpha1 S	CACNA1S
chr1	9150553	9153218	2666	*	0.913035943387454	0.000195731522599898	Promoter (<=1kb)	1	9151668	9151777	110	2	407040	ENST00000385130.1	0	ENSG00000284357	MIR34A	microRNA 34a	MIR34A
chr11	64651130	64654936	3807	*	0.866890096956914	0.000195771030730912	Promoter (1-2kb)	11	64651279	64656120	4842	2	9379	ENST00000486057.1	1184	ENSG00000110076	NRXN2	neurexin 2	NRXN2
chr11	71395314	71397054	1741	*	0.966644121789636	0.000195932235631569	Promoter (1-2kb)	11	71391486	71398306	6821	2	124902707	ENST00000640065.1	1252	ENSG00000172900	LOC124902707	actin, aortic smooth muscle-like	LOC124902707
chr19	49969436	49974301	4866	*	0.854997159256039	0.000196809294418633	Promoter (<=1kb)	19	49969600	49975819	6220	1	400709	ENST00000602139.6	0	ENSG00000161643	SIGLEC16	sialic acid binding Ig like lectin 16	SIGLEC16
chr1	22599356	22606380	7025	*	0.833888007376697	0.000196920213694442	3' UTR	1	22633258	22633366	109	2	102466615	ENST00000614019.2	26986	ENSG00000276835	MIR6127	microRNA 6127	MIR6127
chr1	16419369	16421996	2628	*	0.91359346665068	0.000196944519607881	Exon (ENST00000466212.5/374955, exon 5 of 17)	1	16425097	16431371	6275	2	374955	ENST00000612240.1	9375	ENSG00000187144	SPATA21	spermatogenesis associated 21	SPATA21
chr13	99416111	99417102	992	*	1.18378636867566	0.000197034018198207	Exon (ENST00000642991.1/ENST00000642991.1, exon 1 of 2)	13	99367787	99377650	9864	1	337867	ENST00000474510.2	48324	ENSG00000134882	UBAC2	UBA domain containing 2	UBAC2
chr7	151385200	151389802	4603	*	0.814238060234102	0.000197170004436062	Exon (ENST00000621812.2/349136, exon 4 of 6)	7	151375909	151395917	20009	2	349136	ENST00000463000.1	6115	ENSG00000187260	WDR86	WD repeat domain 86	WDR86
chr19	42356025	42356614	590	*	1.18062501390245	0.000197338448478548	5' UTR	19	42352796	42353668	873	1	1954	ENST00000593840.1	3229	ENSG00000105429	MEGF8	multiple EGF like domains 8	MEGF8
chr17	42759665	42763814	4150	*	0.784659255392705	0.000197472470062926	Promoter (<=1kb)	17	42753914	42761103	7190	2	100190938	ENST00000592670.5	0	ENSG00000197291	RAMP2-AS1	RAMP2 antisense RNA 1	RAMP2-AS1
chr11	64688309	64692311	4003	*	0.736456079320587	0.000197628237475436	Promoter (<=1kb)	11	64607081	64690437	83357	2	9379	ENST00000693456.1	0	ENSG00000110076	NRXN2	neurexin 2	NRXN2
chr9	74497361	74500937	3577	*	0.803356969959913	0.000197987533414019	Promoter (<=1kb)	9	74485551	74499127	13577	2	103752585	ENST00000417576.2	0	NA	RORB-AS1	RORB antisense RNA 1	RORB-AS1
chr7	122304124	122307326	3203	*	0.794024167597927	0.000198179943126023	Promoter (<=1kb)	7	122304950	122308679	3730	1	154860	ENST00000437317.2	0	ENSG00000230316	FEZF1-AS1	FEZF1 antisense RNA 1	FEZF1-AS1
chr6	37691976	37696660	4685	*	0.76498616634572	0.000198203871765914	Promoter (<=1kb)	6	37641667	37694781	53115	2	266727	ENST00000681439.1	0	ENSG00000112139	MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1	MDGA1
chr10	7529867	7533578	3712	*	0.932119001378916	0.000198286569807516	Promoter (<=1kb)	10	7533207	7536565	3359	1	105376390	ENST00000414631.1	0	NA	LOC105376390	uncharacterized LOC105376390	LOC105376390
chr19	49064040	49067097	3058	*	0.877998126696715	0.000198373070267682	Promoter (<=1kb)	19	49061066	49064855	3790	2	4909	ENST00000594938.2	0	ENSG00000225950	NTF4	neurotrophin 4	NTF4
chr10	46299658	46300442	785	*	1.11610272182058	0.000198540857769627	Promoter (2-3kb)	10	46297404	46310499	13096	1	195977	ENST00000614267.1	2254	ENSG00000274209	ANTXRL	ANTXR like	ANTXRL
chr12	132274967	132276579	1613	*	0.95714276935354	0.000198785571466257	Promoter (<=1kb)	12	132275391	132276506	1116	1	100130238	ENST00000543317.1	0	NA	GALNT9-AS1	GALNT9 antisense RNA 1	GALNT9-AS1
chr14	104441497	104444018	2522	*	1.05626868327204	0.000198788291924884	Distal Intergenic	14	104376530	104378951	2422	2	124903394	ENST00000557687.1	-62546	NA	LOC124903394	uncharacterized LOC124903394	LOC124903394
chr5	133786095	133788389	2295	*	0.913413006169746	0.000199004251807287	Distal Intergenic	5	133913677	133917269	3593	1	105664404	ENST00000513561.1	-125288	ENSG00000249073	WSPAR	WNT signaling pathway activating non-coding RNA	WSPAR
chr11	118168839	118175805	6967	*	0.799159404543797	0.000199209146085673	Promoter (<=1kb)	11	118166539	118171769	5231	2	6327	ENST00000669850.1	0	ENSG00000149575	SCN2B	sodium voltage-gated channel beta subunit 2	SCN2B
chr13	113049121	113055850	6730	*	0.741735190806413	0.000199857045728524	3' UTR	13	113044851	113065303	20453	1	23263	ENST00000423251.1	4270	ENSG00000126217	MCF2L	MCF.2 cell line derived transforming sequence like	MCF2L
chr11	129747036	129750929	3894	*	0.768579924106462	0.000199866934657844	Distal Intergenic	11	129761713	129814690	52978	2	124902793	ENST00000656097.1	63761	NA	LOC124902793	uncharacterized LOC124902793	LOC124902793
chr19	39193636	39202927	9292	*	0.834187343601541	0.000199991469704555	Promoter (<=1kb)	19	39196964	39201884	4921	1	342897	ENST00000339852.5	0	ENSG00000188505	NCCRP1	NCCRP1, F-box associated domain containing	NCCRP1
chr17	79779237	79780837	1601	*	0.872088507952831	0.000200069723799819	Promoter (1-2kb)	17	79778194	79782532	4339	1	84733	ENST00000269399.5	1043	ENSG00000173894	CBX2	chromobox 2	CBX2
chr7	74022149	74023510	1362	*	0.887880813325491	0.000200069723799819	Distal Intergenic	7	74027789	74068763	40975	1	2006	ENST00000445912.5	-4279	ENSG00000049540	ELN	elastin	ELN
chr8	27582525	27586250	3726	*	0.770237752683746	0.000200069723799819	Exon (ENST00000454030.1/ENST00000454030.1, exon 4 of 6)	8	27598143	27600015	1873	2	1191	ENST00000521770.1	13765	ENSG00000120885	CLU	clusterin	CLU
chr17	81549557	81551481	1925	*	0.877986719404772	0.000200136112813399	Promoter (<=1kb)	17	81539891	81552353	12463	2	80233	ENST00000327787.13	872	ENSG00000185504	FAAP100	FA core complex associated protein 100	FAAP100
chr9	16410747	16414691	3945	*	0.790342076647921	0.000200171550460843	Promoter (<=1kb)	9	16203948	16410990	207043	2	100129385	ENST00000648575.1	0	ENSG00000205549	LINC03041	long intergenic non-protein coding RNA 3041	LINC03041
chr19	16875335	16877828	2494	*	0.866797492244225	0.000200171550460843	Promoter (<=1kb)	19	16875931	16878706	2776	1	23309	ENST00000595049.5	0	ENSG00000127511	SIN3B	SIN3 transcription regulator family member B	SIN3B
chr5	178103642	178109487	5846	*	0.812569380015314	0.000200467882000598	Distal Intergenic	5	178113532	178126081	12550	1	23138	ENST00000274605.6	-4045	ENSG00000145911	N4BP3	NEDD4 binding protein 3	N4BP3
chr9	126676207	126679695	3489	*	0.803122139500198	0.000200683834367259	Intron (ENST00000355497.10/4010, intron 2 of 7)	9	126613928	126701032	87105	1	4010	ENST00000526117.6	62279	ENSG00000136944	LMX1B	LIM homeobox transcription factor 1 beta	LMX1B
chr5	154609486	154611757	2272	*	0.877402666708791	0.000200959474841644	Distal Intergenic	5	154596012	154596072	61	2	100422950	ENST00000585290.1	-13414	ENSG00000264760	MIR3141	microRNA 3141	MIR3141
chr11	69823989	69825519	1531	*	0.873977218663693	0.000201489674856018	Distal Intergenic	11	69809968	69819416	9449	2	2248	ENST00000334134.4	-4573	ENSG00000186895	FGF3	fibroblast growth factor 3	FGF3
chr17	1575046	1578266	3221	*	0.842348105509825	0.000201967543332996	Promoter (<=1kb)	17	1576603	1578705	2103	2	124935	ENST00000576537.1	439	ENSG00000167703	SLC43A2	solute carrier family 43 member 2	SLC43A2
chr11	2698436	2702002	3567	*	0.817626664375623	0.000202562997074139	Promoter (<=1kb)	11	2608328	2699994	91667	2	10984	ENST00000597346.1	0	ENSG00000269821	KCNQ1OT1	KCNQ1 opposite strand/antisense transcript 1	KCNQ1OT1
chr4	76895424	76898007	2584	*	0.978541808083413	0.000202562997074139	Promoter (<=1kb)	4	76894152	76898144	3993	2	345079	ENST00000334306.4	137	ENSG00000186212	SOWAHB	sosondowah ankyrin repeat domain family member B	SOWAHB
chr7	27198404	27203628	5225	*	0.877937404760407	0.000203121965023852	Promoter (<=1kb)	7	27198575	27201236	2662	1	100316868	ENST00000421733.1	0	NA	HOTTIP	HOXA distal transcript antisense RNA	HOTTIP
chr11	2880329	2883077	2749	*	0.842879928038894	0.000203228108515186	Promoter (1-2kb)	11	2883675	2884701	1027	2	1028	ENST00000471157.2	1624	ENSG00000129757	CDKN1C	cyclin dependent kinase inhibitor 1C	CDKN1C
chr17	74242947	74245335	2389	*	0.819497728841349	0.000203496353787752	Promoter (<=1kb)	17	74243374	74252288	8915	1	94015	ENST00000528128.2	0	ENSG00000141540	TTYH2	tweety family member 2	TTYH2
chrX	120014630	120016563	1934	*	0.95013889786154	0.000203557141969142	Promoter (<=1kb)	23	119978713	120015544	36832	2	101928941	ENST00000454625.2	0	ENSG00000291200	RHOXF1P1	Rhox homeobox family member 1 pseudogene 1	RHOXF1P1
chr17	30215597	30220809	5213	*	0.786651773196767	0.000203557141969142	Exon (ENST00000650711.1/6532, exon 4 of 15)	17	30197921	30211369	13449	2	6532	ENST00000579221.5	-4228	ENSG00000108576	SLC6A4	solute carrier family 6 member 4	SLC6A4
chr10	86694135	86700276	6142	*	0.776700860687337	0.000203602977794596	Promoter (2-3kb)	10	86692058	86718803	26746	1	11155	ENST00000687154.1	2077	ENSG00000122367	LDB3	LIM domain binding 3	LDB3
chr4	3071496	3074433	2938	*	0.88837147881621	0.000203677837163372	Promoter (<=1kb)	4	3049166	3074513	25348	2	100750326	ENST00000660368.1	80	NA	HTT-AS	HTT antisense RNA	HTT-AS
chr2	130759955	130763003	3049	*	0.893060235447848	0.000203923738456704	5' UTR	2	130756291	130764658	8368	1	205147	ENST00000458606.6	3664	ENSG00000178171	AMER3	APC membrane recruitment protein 3	AMER3
chr19	33406498	33408473	1976	*	0.900436226237956	0.000204101222031713	Intron (ENST00000244137.12/5184, intron 11 of 14)	19	33387349	33413932	26584	2	5184	ENST00000698433.1	5459	ENSG00000124299	PEPD	peptidase D	PEPD
chr3	53842703	53846792	4090	*	0.853780587160794	0.000204187098091068	Promoter (<=1kb)	3	53812335	53846419	34085	2	55349	ENST00000315251.11	0	ENSG00000016391	CHDH	choline dehydrogenase	CHDH
chr20	62207669	62212033	4365	*	0.876311345130751	0.000204331439184742	Distal Intergenic	20	62202739	62203568	830	1	26164	ENST00000488748.1	4930	ENSG00000101181	MTG2	mitochondrial ribosome associated GTPase 2	MTG2
chr17	44786520	44788493	1974	*	0.89916041501245	0.000204847323382081	Distal Intergenic	17	44794747	44797783	3037	2	10052	ENST00000591137.1	9290	ENSG00000182963	GJC1	gap junction protein gamma 1	GJC1
chr6	41366968	41376767	9800	*	0.715631462811641	0.000204859636223136	Distal Intergenic	6	41335851	41350864	15014	1	9436	ENST00000373086.3	31117	ENSG00000096264	NCR2	natural cytotoxicity triggering receptor 2	NCR2
chr12	13040063	13044315	4253	*	0.888726268764326	0.000204863305290849	Promoter (<=1kb)	12	13044381	13083449	39069	1	57613	ENST00000197268.13	-66	ENSG00000084444	FAM234B	family with sequence similarity 234 member B	FAM234B
chr15	65314200	65315970	1771	*	0.96412053644266	0.00020504871372246	Distal Intergenic	15	65304677	65304792	116	1	26832	ENST00000363286.1	9523	ENSG00000200156	RNU5B-1	RNA, U5B small nuclear 1	RNU5B-1
chr20	3727446	3731126	3681	*	0.7255217932871	0.000205254534811002	Promoter (1-2kb)	20	3732685	3753111	20427	1	116835	ENST00000254963.7	-1559	ENSG00000132622	HSPA12B	heat shock protein family A (Hsp70) member 12B	HSPA12B
chr17	47801485	47804720	3236	*	0.812833801828739	0.000205356789077718	Distal Intergenic	17	47808216	47809115	900	2	114881	ENST00000578461.1	4395	ENSG00000006025	OSBPL7	oxysterol binding protein like 7	OSBPL7
chr17	77635746	77641826	6081	*	0.713457333243918	0.000205581612907955	Intron (ENST00000649512.1/107985079, intron 3 of 4)	17	77590532	77680687	90156	1	107985079	ENST00000649512.1	45214	NA	LOC107985079	uncharacterized LOC107985079	LOC107985079
chr2	129906832	129908355	1524	*	0.949558146604039	0.000205811995998239	Intron (ENST00000693017.1/389033, intron 1 of 3)	2	129923177	129946703	23527	1	101927924	ENST00000450840.1	-14822	ENSG00000237574	LINC01856	long intergenic non-protein coding RNA 1856	LINC01856
chr11	46376499	46379947	3449	*	0.874377167410003	0.000205950274405103	Promoter (<=1kb)	11	46376520	46380551	4032	1	8525	ENST00000527211.5	0	ENSG00000149091	DGKZ	diacylglycerol kinase zeta	DGKZ
chr21	44266045	44267744	1700	*	0.879006073466183	0.000205950274405103	Distal Intergenic	21	44246339	44262216	15878	2	29947	ENST00000270172.7	-3829	ENSG00000142182	DNMT3L	DNA methyltransferase 3 like	DNMT3L
chr19	33527299	33529763	2465	*	0.827922157176492	0.00020602551136177	Distal Intergenic	19	33400369	33521823	121455	2	5184	ENST00000698365.1	-5476	ENSG00000124299	PEPD	peptidase D	PEPD
chr22	42313136	42317366	4231	*	0.773409081444415	0.000206230990469748	Promoter (<=1kb)	22	42211513	42318239	106727	2	6942	ENST00000675876.1	873	ENSG00000100207	TCF20	transcription factor 20	TCF20
chr10	79044791	79049082	4292	*	0.773130654085368	0.000206342506932189	Exon (ENST00000456353.5/283050, exon 5 of 10)	10	79043463	79067420	23958	2	283050	ENST00000665190.1	18338	ENSG00000224596	ZMIZ1-AS1	ZMIZ1 antisense RNA 1	ZMIZ1-AS1
chr7	155468523	155469848	1326	*	0.79100959481122	0.000206409290300565	Distal Intergenic	7	155458129	155464831	6703	1	2020	ENST00000297375.4	10394	ENSG00000164778	EN2	engrailed homeobox 2	EN2
chr10	132904463	132908894	4432	*	0.855925255130542	0.000206575209156347	Promoter (1-2kb)	10	132908348	132910096	1749	2	54777	ENST00000466834.1	1202	ENSG00000171811	CFAP46	cilia and flagella associated protein 46	CFAP46
chr3	10991374	10995450	4077	*	0.832744505530126	0.000206667049631648	Promoter (<=1kb)	3	10992186	11039174	46989	1	6529	ENST00000646702.1	0	ENSG00000157103	SLC6A1	solute carrier family 6 member 1	SLC6A1
chr17	74232446	74238250	5805	*	0.825849492224952	0.000206755303538079	Promoter (2-3kb)	17	74240800	74250014	9215	1	94015	ENST00000534346.5	-2550	ENSG00000141540	TTYH2	tweety family member 2	TTYH2
chr1	2633585	2635673	2089	*	0.991199745393493	0.000206921731626621	Promoter (<=1kb)	1	2590639	2633016	42378	2	79258	ENST00000378412.8	-569	ENSG00000142606	MMEL1	membrane metalloendopeptidase like 1	MMEL1
chr19	33139095	33145197	6103	*	0.77281332363567	0.000207039135472541	Exon (ENST00000592765.5/126248, exon 3 of 6)	19	33132114	33175799	43686	1	126248	ENST00000355868.4	6981	ENSG00000166359	WDR88	WD repeat domain 88	WDR88
chr17	4530199	4537434	7236	*	0.861023930555431	0.000207060804981443	Promoter (<=1kb)	17	4533032	4537798	4767	1	124976	ENST00000571386.1	0	ENSG00000183018	SPNS2	SPNS lysolipid transporter 2, sphingosine-1-phosphate	SPNS2
chr7	73975743	73979437	3695	*	0.747423704565825	0.000207165946287949	Distal Intergenic	7	74027789	74068763	40975	1	2006	ENST00000445912.5	-48352	ENSG00000049540	ELN	elastin	ELN
chr11	63020712	63024225	3514	*	0.767409161361795	0.000207283272713435	Distal Intergenic	11	62992824	63015841	23018	2	9376	ENST00000336232.7	-4871	ENSG00000149452	SLC22A8	solute carrier family 22 member 8	SLC22A8
chr16	3547422	3550252	2831	*	0.933231175254129	0.000207283272713435	3' UTR	16	3548135	3556994	8860	2	197358	ENST00000618137.1	6742	ENSG00000167984	NLRC3	NLR family CARD domain containing 3	NLRC3
chr7	151819214	151825862	6649	*	0.722911887141642	0.000207419042103555	Intron (ENST00000287878.9/51422, intron 1 of 15)	7	151556284	151815024	258741	2	51422	ENST00000651378.1	-4190	ENSG00000106617	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2	PRKAG2
chr19	3513283	3513715	433	*	1.19811829798291	0.000207988495450465	Intron (ENST00000441788.7/51343, intron 1 of 13)	19	3506377	3527060	20684	1	51343	ENST00000588327.1	6906	ENSG00000105325	FZR1	fizzy and cell division cycle 20 related 1	FZR1
chr8	143532374	143533475	1102	*	0.980444125213062	0.000208029772595599	Intron (ENST00000262577.6/23144, intron 3 of 11)	8	143437659	143541447	103789	2	23144	ENST00000262577.6	7972	ENSG00000014164	ZC3H3	zinc finger CCCH-type containing 3	ZC3H3
chr11	117488090	117491102	3013	*	0.765616006937772	0.000208108683518384	Intron (ENST00000651296.2/57453, intron 11 of 32)	11	117411112	117412830	1719	1	22897	ENST00000533433.1	76978	ENSG00000110274	CEP164	centrosomal protein 164	CEP164
chr22	39230721	39231888	1168	*	0.984812360365699	0.000208108683518384	Exon (ENST00000331163.11/5155, exon 4 of 7)	22	39224935	39240909	15975	2	5155	ENST00000381551.8	9021	ENSG00000100311	PDGFB	platelet derived growth factor subunit B	PDGFB
chr19	40610719	40612282	1564	*	0.934252895950146	0.000208392593678349	Promoter (<=1kb)	19	40610765	40613446	2682	1	8425	ENST00000598055.1	0	ENSG00000090006	LTBP4	latent transforming growth factor beta binding protein 4	LTBP4
chr16	706923	708050	1128	*	0.967309079813243	0.000208522776050765	Promoter (1-2kb)	16	692500	705801	13302	2	146330	ENST00000397621.6	-1122	ENSG00000127585	FBXL16	F-box and leucine rich repeat protein 16	FBXL16
chr10	97772427	97774984	2558	*	0.834030426574825	0.000208757877955476	Promoter (<=1kb)	10	97766751	97771999	5249	2	6425	ENST00000266066.4	-428	ENSG00000120057	SFRP5	secreted frizzled related protein 5	SFRP5
chr19	38425490	38426184	695	*	1.07259078138912	0.000209047011387214	Promoter (<=1kb)	19	38409840	38426162	16323	2	115727	ENST00000587738.2	0	ENSG00000171777	RASGRP4	RAS guanyl releasing protein 4	RASGRP4
chr5	1276742	1278987	2246	*	0.942547651026084	0.000209547298897015	3' UTR	5	1253147	1283010	29864	2	7015	ENST00000484238.6	4023	ENSG00000164362	TERT	telomerase reverse transcriptase	TERT
chr10	1241282	1244996	3715	*	0.915669029619193	0.000209620246339129	Promoter (<=1kb)	10	1215676	1240530	24855	2	105	ENST00000469464.1	-752	ENSG00000185736	ADARB2	adenosine deaminase RNA specific B2 (inactive)	ADARB2
chr19	42153184	42157171	3988	*	0.796371546670975	0.000209671956386963	Exon (ENST00000559786.1/ENST00000559786.1, exon 2 of 2)	19	42134504	42137087	2584	1	100505622	ENST00000531517.1	18680	NA	LNROP	long non-coding regulator of POU2F2	LNROP
chr20	62478058	62481595	3538	*	0.808120997269775	0.000209743361610229	Promoter (2-3kb)	20	62463497	62475995	12499	2	140628	ENST00000252997.3	-2063	ENSG00000130700	GATA5	GATA binding protein 5	GATA5
chr17	55829537	55832813	3277	*	0.95899930018019	0.000209826479165745	Intron (ENST00000576221.1/58488, intron 5 of 5)	17	55882301	56511659	629359	1	162282	ENST00000635860.2	-49488	ENSG00000153930	ANKFN1	ankyrin repeat and fibronectin type III domain containing 1	ANKFN1
chr11	64735237	64736788	1552	*	0.964511354422149	0.000209826479165745	Promoter (<=1kb)	11	64726946	64735266	8321	2	10235	ENST00000488071.1	0	ENSG00000068831	RASGRP2	RAS guanyl releasing protein 2	RASGRP2
chr20	61695450	61698988	3539	*	0.89194054257776	0.000210007074749189	Intron (ENST00000614565.5/1002, intron 2 of 15)	20	61717506	61719748	2243	2	100128310	ENST00000317652.1	20760	ENSG00000179253	LOC100128310	uncharacterized LOC100128310	LOC100128310
chr17	46776134	46779260	3127	*	0.803104974332982	0.000210145302418395	Intron (ENST00000225512.6/7473, intron 1 of 4)	17	46762618	46772287	9670	2	7473	ENST00000706483.1	-3847	ENSG00000108379	WNT3	Wnt family member 3	WNT3
chr17	63909823	63915693	5871	*	0.771589009380739	0.000210145302418395	Promoter (<=1kb)	17	63909597	63911289	1693	2	1444	ENST00000561003.5	0	ENSG00000204414	CSHL1	chorionic somatomammotropin hormone like 1	CSHL1
chr17	73625366	73629556	4191	*	0.854432198283933	0.000210605063660942	Intron (ENST00000392650.8/54549, intron 1 of 44)	17	73334384	73644445	310062	2	54549	ENST00000392650.8	14889	ENSG00000069188	SDK2	sidekick cell adhesion molecule 2	SDK2
chr15	75041170	75047861	6692	*	0.802420394096121	0.000211141020490979	Promoter (<=1kb)	15	75043275	75049738	6464	1	60490	ENST00000563393.1	0	ENSG00000138621	PPCDC	phosphopantothenoylcysteine decarboxylase	PPCDC
chr9	134472134	134476325	4192	*	0.849063078761355	0.000211340231027046	Distal Intergenic	9	134505472	134521442	15971	1	100506532	ENST00000444936.2	-29147	NA	LOC100506532	uncharacterized LOC100506532	LOC100506532
chr11	134413231	134414666	1436	*	1.08512230964784	0.000211944333081981	Promoter (<=1kb)	11	134412305	134505665	93361	1	283177	ENST00000661684.1	926	ENSG00000255545	B3GAT1-DT	B3GAT1 divergent transcript	B3GAT1-DT
chr1	10914456	10918565	4110	*	0.774423391215571	0.000211983806655247	Distal Intergenic	1	10946475	10947870	1396	2	148345	ENST00000468348.1	29305	ENSG00000175262	C1orf127	chromosome 1 open reading frame 127	C1orf127
chr19	4060765	4063965	3201	*	0.879862577887586	0.000212423878031092	Promoter (1-2kb)	19	4047742	4065732	17991	2	51341	ENST00000601588.1	1767	ENSG00000178951	ZBTB7A	zinc finger and BTB domain containing 7A	ZBTB7A
chr8	115212819	115216922	4104	*	0.893797034490481	0.000212787444848704	Distal Intergenic	8	115414429	115492221	77793	2	7227	ENST00000518018.1	275299	ENSG00000104447	TRPS1	transcriptional repressor GATA binding 1	TRPS1
chr2	239140799	239145260	4462	*	0.849079547157633	0.00021321038511033	Promoter (<=1kb)	2	239134325	239140973	6649	2	9759	ENST00000445704.1	0	ENSG00000068024	HDAC4	histone deacetylase 4	HDAC4
chr11	2272405	2274472	2068	*	1.00332146660666	0.000213248686430308	Promoter (1-2kb)	11	2268498	2270588	2091	2	430	ENST00000331289.5	-1817	ENSG00000183734	ASCL2	achaete-scute family bHLH transcription factor 2	ASCL2
chr17	80193482	80195938	2457	*	0.883490396993586	0.000213423914018191	Promoter (1-2kb)	17	80192443	80208951	16509	1	79092	ENST00000649277.1	1039	ENSG00000141527	CARD14	caspase recruitment domain family member 14	CARD14
chr9	132099927	132100536	610	*	1.11148801355849	0.000213423914018191	Distal Intergenic	9	131860112	132079867	219756	2	9442	ENST00000292035.10	-20060	ENSG00000160563	MED27	mediator complex subunit 27	MED27
chr7	336392	340586	4195	*	0.833082953400221	0.000213970803355992	Distal Intergenic	7	329776	333172	3397	2	105375118	ENST00000670013.1	-3220	ENSG00000287342	LOC105375118	uncharacterized LOC105375118	LOC105375118
chr19	3480695	3482156	1462	*	0.845123963504898	0.000215249778511492	Promoter (<=1kb)	19	3473986	3480525	6540	2	284422	ENST00000215531.6	-170	ENSG00000095932	SMIM24	small integral membrane protein 24	SMIM24
chr5	3361426	3364026	2601	*	1.00509905362438	0.000215610447455783	Intron (ENST00000662836.1/285577, intron 4 of 4)	5	3452816	3461660	8845	1	105374624	ENST00000512521.1	-88790	ENSG00000249830	LINC02162	long intergenic non-protein coding RNA 2162	LINC02162
chr10	70465794	70469753	3960	*	0.722441609663429	0.000215921413050531	Distal Intergenic	10	70478767	70568450	89684	1	27143	ENST00000263563.7	-9014	ENSG00000107719	PALD1	phosphatase domain containing paladin 1	PALD1
