gene_symbol	annotation	fold_change	FDR	distance_to_TSS
NRIR	Distal Intergenic	0.956189456227885	0.00214901826091747	21355
SLC7A10	Distal Intergenic	0.956175463407163	7.28778076644442e-06	-5216
ATP2A1	Promoter (<=1kb)	0.95604993882712	0.000678667010711224	0
SLC1A2	Promoter (<=1kb)	0.956011671157195	1.53916184836574e-05	0
C2orf50	3' UTR	0.955804045812678	0.000575285284760041	10061
VAV2	Promoter (1-2kb)	0.955794149758832	5.92572215758162e-05	1005
NGFR	5' UTR	0.955644465348849	5.63692351208786e-06	3158
GAS6-AS1	Exon (ENST00000608763.1/ENST00000608763.1, exon 1 of 1)	0.955613618248939	5.29204496395619e-05	5735
CRELD2	3' UTR	0.955570033891657	0.00812858176113333	4013
LMO1	Promoter (<=1kb)	0.955470243401017	1.82928044956403e-06	0
LOC124904553	Promoter (2-3kb)	0.955411783736203	0.00335169580703264	-2873
LOC124904078	Promoter (1-2kb)	0.955389262084952	1.4898730346328e-05	1348
DTNB	Distal Intergenic	0.955388492649468	0.000822471175411529	-11471
LTF	5' UTR	0.955308732731146	0.0005630793617405	-5413
AGPAT3	Promoter (<=1kb)	0.955268308091522	7.91384457997491e-05	0
NOL4L-DT	Promoter (<=1kb)	0.95526553261531	7.35927136842616e-06	0
ADAMTS7	Exon (ENST00000388820.5/11173, exon 12 of 24)	0.955243655417411	0.000357750282396199	-8322
PCAT29	Promoter (<=1kb)	0.955228574636046	2.78138135780951e-06	0
LINC00554	Promoter (<=1kb)	0.95521556144473	0.0015014349272216	0
LINC02351	Promoter (<=1kb)	0.955182791995535	7.61070892614934e-06	0
IGDCC4	Promoter (<=1kb)	0.955176194893926	1.77592933563336e-07	0
TCEA2	Promoter (<=1kb)	0.955154850724475	3.52052371742834e-05	0
TSNARE1	Distal Intergenic	0.95497221367294	3.76081988389462e-05	-20069
PRPSAP2	Promoter (1-2kb)	0.954925381819026	0.000266224963321793	-1002
RIMS4	Promoter (<=1kb)	0.954905121409876	5.19750584260051e-05	0
MIR5008	Promoter (<=1kb)	0.954822225100995	0.000228467483274294	0
PDCD6P1	Intron (ENST00000701631.1/728613, intron 3 of 5)	0.954745954308925	0.00787730914736712	14572
FKBP10	Promoter (<=1kb)	0.954501994793043	0.000190244826351639	0
ARHGEF1	Intron (ENST00000698932.1/9138, intron 27 of 28)	0.954495652456166	0.000133727216492088	-5172
GPAA1	Promoter (<=1kb)	0.954470559308409	3.44475916541755e-05	0
SLC4A2	Promoter (<=1kb)	0.954457189430251	0.000873195440732096	0
GAL	Promoter (1-2kb)	0.954392352725211	0.000218329743263162	1127
FLRT1	Exon (ENST00000544948.1/ENST00000544948.1, exon 3 of 3)	0.954389349099196	6.18191294369684e-05	-14443
TMIE	Promoter (<=1kb)	0.954288881068059	1.85371053202903e-05	0
TMEM190	Promoter (1-2kb)	0.954275203284051	0.000399957829601299	1848
FGF3	Promoter (<=1kb)	0.954212844409288	3.5034769458343e-05	-754
SLC45A4	Exon (ENST00000520606.1/ENST00000520606.1, exon 2 of 2)	0.954212264203136	0.00026643129802278	13729
HDAC4	Intron (ENST00000345617.7/9759, intron 2 of 26)	0.954203672352535	0.000177187044018834	-24830
LINC01475	Distal Intergenic	0.95419531782613	0.000880921894399879	5175
KMT5B	Promoter (1-2kb)	0.95415440271659	7.47144760543945e-06	-1750
NTSR1	Distal Intergenic	0.954141762427937	4.53898079762632e-05	-3975
LOC124903230	Distal Intergenic	0.954086751072588	0.00306830260812719	41366
TICRR	Intron (ENST00000559041.1/ENST00000559041.1, intron 1 of 1)	0.954066314081281	6.46334974791439e-07	-18643
PHACTR3-AS1	Intron (ENST00000359926.7/116154, intron 1 of 12)	0.953910964698064	3.07636034617553e-05	6996
LOC124903997	Promoter (2-3kb)	0.953843716415432	3.48734018436183e-06	-2411
LAMC3	Exon (ENST00000361069.9/10319, exon 10 of 28)	0.953800468754366	0.000104562291124512	-24243
CYB5R3	Promoter (<=1kb)	0.953793534122656	2.39712910392848e-05	0
SLC26A11	Promoter (<=1kb)	0.953627481320692	4.58248633967663e-05	102
SSR4P1	Distal Intergenic	0.953624716585006	0.000131013406243396	16724
NPR1	Promoter (<=1kb)	0.953396761836936	2.56928040476339e-06	0
CERS1	Promoter (<=1kb)	0.953300444757256	1.24686004767796e-05	0
KIRREL3	Intron (ENST00000525144.7/84623, intron 4 of 16)	0.953208088700308	0.000162002801742376	-33591
ADGRG3	Promoter (<=1kb)	0.953149649404864	1.59003556715734e-05	0
RADIL	Intron (ENST00000445392.5/55698, intron 5 of 14)	0.953137134191347	0.000132581555782744	7129
ASIC4	Promoter (2-3kb)	0.953108523322065	2.50820567549947e-05	2294
IRF5	Promoter (<=1kb)	0.953105441625932	3.71036053932081e-05	0
PRAMEF12	Promoter (1-2kb)	0.953036946227761	0.000228014097976859	1321
SIGLEC1	Promoter (<=1kb)	0.953021686371682	0.000775133068711429	0
KCNF1	Distal Intergenic	0.952999886994875	7.35204551714829e-05	12506
ADAM3B	Exon (ENST00000561648.5/23090, exon 7 of 9)	0.952959332416383	1.34877682645634e-05	-6459
RASGEF1C	Promoter (1-2kb)	0.952945587688889	8.13470504524952e-05	-1526
OGFOD3	Promoter (<=1kb)	0.952922200536236	0.000134933501542947	0
TMX1	Distal Intergenic	0.952887373071172	0.0112360275150029	-36091
SYT12	Intron (ENST00000393946.6/91683, intron 3 of 10)	0.952846610032019	0.000378818438615135	6655
MYO1C	Promoter (<=1kb)	0.952813066069253	0.000486490647670452	0
RIPOR3	Exon (ENST00000327979.8/140876, exon 13 of 22)	0.95251155486592	0.00109213732223026	-4103
PACS2	5' UTR	0.95237463374181	0.000478735348941373	-5759
RPL36	Promoter (<=1kb)	0.952340189829326	0.000109606612926969	902
MIR4739	Distal Intergenic	0.952311280586812	7.54744715740945e-05	9935
KRTAP10-11	Promoter (<=1kb)	0.952234360241941	4.14055577331681e-05	370
UBE2QL1	Intron (ENST00000399816.4/134111, intron 1 of 1)	0.952173390578959	0.00161658700416688	28175
CELSR1	Promoter (<=1kb)	0.952142240782401	0.000156987639883934	92
CDH23-AS1	Promoter (<=1kb)	0.952042424080765	3.78901726450579e-06	0
HBA1	Promoter (<=1kb)	0.951998818337747	0.000232512299436199	0
LOC124905144	Promoter (<=1kb)	0.951959550967616	0.000310228265208821	0
QPRT	Promoter (<=1kb)	0.951929501008541	0.0026958945715916	0
AZIN2	Promoter (<=1kb)	0.951926065323979	1.57729512076305e-05	0
PITPNM3	Intron (ENST00000262483.13/83394, intron 13 of 19)	0.951921111193555	0.000740063096298034	3894
DGCR5	Promoter (2-3kb)	0.95186289000914	0.000291452597481873	2823
LINC03041	Intron (ENST00000648575.1/100129385, intron 2 of 3)	0.951835656636559	0.000315633576759711	-39807
UNC5B	Distal Intergenic	0.951671946804004	2.62055351995114e-05	-64064
SRCIN1	Promoter (<=1kb)	0.9516585464038	2.16386474013446e-05	0
ADAD2	Promoter (<=1kb)	0.951655093936467	4.62223079967645e-05	0
FOXP1	Intron (ENST00000318789.11/27086, intron 5 of 20)	0.951644937709059	0.000146814069131491	-11817
GRHL3	3' UTR	0.95163212045909	6.92960556481679e-06	4625
AQP1	Promoter (2-3kb)	0.951576543381393	6.79116876378122e-05	-2715
TBC1D2B	3' UTR	0.951480729313105	0.000225831872587406	17211
LOC124901789	Distal Intergenic	0.951477217456337	4.13413165325008e-05	-132038
PADI2	Exon (ENST00000375486.9/11240, exon 4 of 16)	0.951372834062736	4.28928092998588e-06	-11047
METRNL	Exon (ENST00000573312.1/ENST00000573312.1, exon 1 of 1)	0.951350745717386	1.49889793955369e-05	12719
LOC284600	Promoter (<=1kb)	0.951345063434711	8.36136078382868e-05	0
DNAH17	Promoter (<=1kb)	0.951210762134812	1.87294055521219e-05	-461
MIR4689	Distal Intergenic	0.951174558541465	8.69346877424375e-05	39996
DNAJB8	Exon (ENST00000471626.1/285224, exon 3 of 3)	0.951153236700944	0.000254677830605269	-3595
ZIC5	Promoter (<=1kb)	0.951124156535282	5.05193960695086e-05	0
CBFA2T3	Promoter (<=1kb)	0.951103309256666	0.000730283205244844	-944
ZFP41	Distal Intergenic	0.951015701899866	1.13072716331349e-05	-10509
ATG2A	Promoter (1-2kb)	0.95098471328582	0.00251406709180057	1154
SHROOM1	Promoter (<=1kb)	0.950922144440648	0.00129029956876671	0
LOC101929974	Distal Intergenic	0.950863539203425	0.000109990928915766	-40358
TRIM7	Promoter (<=1kb)	0.950844456586524	5.99275273717756e-05	0
IGDCC3	Intron (ENST00000327987.9/9543, intron 2 of 13)	0.950808897336603	3.36509218944588e-06	-6072
LINC00905	Promoter (2-3kb)	0.950799840273141	4.96715922848725e-05	2189
CORO2A	Promoter (1-2kb)	0.950792472107958	0.00560557193186413	1042
MIR6720	Distal Intergenic	0.950772084986611	3.83915593295663e-05	-15333
TRADD	Promoter (<=1kb)	0.950669581162249	8.3835427006033e-06	0
LINC01345	Distal Intergenic	0.950619676270218	0.000500349243244177	-97613
CFAP74	Distal Intergenic	0.950567570291201	6.10864692774661e-05	-4136
KLRG2	Promoter (2-3kb)	0.950503935964253	2.12364945863968e-05	2048
F7	Promoter (<=1kb)	0.950501685126698	0.000125396872419227	938
CACNA1D	Promoter (1-2kb)	0.950442303526282	0.000591077066081548	1107
SUZ12P1	Promoter (2-3kb)	0.950415601836195	4.69193149086957e-05	-2158
LINC02557	Promoter (<=1kb)	0.950253205745532	0.00040558305311547	0
CA5A	3' UTR	0.950252514309515	0.000222943139501358	9481
LINC01648	Distal Intergenic	0.950209099609945	9.61422170963845e-06	-42890
LINC01833	Promoter (<=1kb)	0.950181011384287	7.85202081525078e-05	0
VSX2	Promoter (<=1kb)	0.950164930518548	0.000133874942559465	0
CFAP74	Exon (ENST00000493964.5/85452, exon 11 of 38)	0.950140983978763	4.966932706305e-05	-8326
RHOXF1P1	Promoter (<=1kb)	0.95013889786154	0.000203557141969142	0
SLC43A2	Promoter (1-2kb)	0.950131618607457	0.000137114674094517	-1065
LINC00237	Promoter (<=1kb)	0.950008709984672	5.6752009611716e-05	0
TAS1R2	Promoter (2-3kb)	0.949859178081499	9.52689256807122e-06	-2246
LINC02130	Promoter (2-3kb)	0.949798424322529	0.0011709433839496	-2803
ACTB	Intron (ENST00000675515.1/60, intron 1 of 5)	0.949701973330877	0.000221107302519396	7991
LINC01856	Intron (ENST00000693017.1/389033, intron 1 of 3)	0.949558146604039	0.000205811995998239	-14822
FAM41C	Promoter (<=1kb)	0.949511965495679	8.39799086032625e-06	0
COL4A3	Promoter (<=1kb)	0.949511708169296	0.00363432228728174	0
EGILA	Exon (ENST00000557256.2/ENST00000557256.2, exon 1 of 2)	0.949345941846756	0.00292560014935189	-14160
PLCB3	Promoter (<=1kb)	0.949293204696312	1.02755708575875e-05	-463
ARHGEF1	Distal Intergenic	0.949260298817336	2.30941960334913e-05	5025
KRTCAP2	Promoter (<=1kb)	0.949047240747662	5.01985900300565e-05	0
LOC105378146	Distal Intergenic	0.948950937400792	0.00214759291117277	-29930
LINC00311	Intron (ENST00000637419.1/23199, intron 1 of 2)	0.94888251078943	0.000272648911558807	-5301
MGAT5	Distal Intergenic	0.948872493532363	0.00717436933849753	-43398
PNKD	Promoter (<=1kb)	0.948854854082089	0.000103636827124374	0
LINC01509	Distal Intergenic	0.948798827715375	0.00137290461242374	18703
MEGF6	Exon (ENST00000356575.9/1953, exon 2 of 37)	0.948771135118749	2.94493331701968e-05	8172
PRSS21	Promoter (<=1kb)	0.948747156507997	9.20758707179711e-06	0
CADM1	Distal Intergenic	0.948713497453097	0.00080419737773276	41108
GBX2	Distal Intergenic	0.94866907636562	8.87021972389639e-06	5150
NTRK1	Promoter (1-2kb)	0.948641682477302	0.000237502364442797	1865
RALGDS	Promoter (2-3kb)	0.948376017874645	4.51653500488674e-06	-2882
TLE2	Promoter (<=1kb)	0.94806846139608	3.28801326011751e-06	0
ACTR3B	Exon (ENST00000658865.1/ENST00000658865.1, exon 1 of 4)	0.948053125242791	8.66185365751629e-06	110838
PHACTR3	Intron (ENST00000359926.7/116154, intron 3 of 12)	0.94801858703602	0.00192220731262135	29868
GREP1	Promoter (2-3kb)	0.947991514586923	0.000470779894934683	-2179
SLC4A3	Promoter (<=1kb)	0.947991481764508	1.5093857660998e-05	0
ALPI	Promoter (<=1kb)	0.94793838016262	0.0111228356739277	0
LOC102724220	Promoter (<=1kb)	0.947909130638154	2.39410420178886e-05	0
LTK	Promoter (<=1kb)	0.947729077551784	1.00672726411436e-05	42
RBFOX3	Intron (ENST00000583458.5/146713, intron 3 of 13)	0.947724049698087	0.000130783763312334	-8064
MPP2	Promoter (<=1kb)	0.947691415671979	7.44134148568681e-06	0
CARD14	Promoter (<=1kb)	0.947653718940683	2.0303708774918e-05	0
CNPY1	Promoter (<=1kb)	0.947586755918781	3.27534936235216e-06	0
CCR6	Promoter (<=1kb)	0.947562525633998	8.46777241434066e-05	989
LINC02280	Distal Intergenic	0.947511455771089	0.00476899288955773	14016
LOC105373585	Distal Intergenic	0.947379500819301	0.000472018205778823	-48403
ABCC8	Promoter (<=1kb)	0.947364220424743	0.000490721600914684	0
MIR7850	Intron (ENST00000382159.8/2788, intron 2 of 4)	0.947311870677935	0.00115572321434633	9666
ZFR2	3' UTR	0.947285588914396	4.56313469173118e-05	21771
ASB10	Promoter (<=1kb)	0.947260917911425	4.38144341499782e-06	0
LINC00237	Distal Intergenic	0.947218318958914	0.00790421096012311	80975
RPTOR	Distal Intergenic	0.947135564447444	3.60273970949978e-06	-30840
AQP3	Promoter (<=1kb)	0.947111787204792	0.000103342535531402	0
LINC01978	Distal Intergenic	0.947030882088316	2.09104092748982e-05	-26433
AHRR	Promoter (<=1kb)	0.94702764465994	0.000461461403103311	0
LOC107986195	Promoter (<=1kb)	0.947020369710808	1.90987104688359e-05	0
SYT5	Promoter (<=1kb)	0.946985375616468	0.000242133222870612	0
FDXR	Promoter (<=1kb)	0.946896920691173	8.038417075062e-05	0
OBSL1	Promoter (1-2kb)	0.946857444807657	0.000797141246402701	-1445
ZNF618	Intron (ENST00000288466.11/114991, intron 3 of 13)	0.946837550359738	0.00383787975885896	-28700
GABBR1	Promoter (<=1kb)	0.946823891803426	0.000120980866394303	0
IGF2	Promoter (<=1kb)	0.94675911591716	0.00889443492461443	0
LOC101928532	Distal Intergenic	0.946758425317433	0.000303809678305363	36178
ITGB2	Promoter (<=1kb)	0.946705591909796	0.000216293710565972	0
SLC30A2	Promoter (<=1kb)	0.946551847590264	6.35899540870764e-06	0
FAM240C	Intron (ENST00000430555.5/101927289, intron 2 of 3)	0.946548051767465	0.00128963702714188	-6320
PTGS1	Promoter (<=1kb)	0.94651785414962	5.062823483798e-06	0
C1orf127	Distal Intergenic	0.946402224703388	1.27606945099467e-05	55574
LINC01993	Promoter (<=1kb)	0.946356870005046	2.17043109066116e-05	0
RAP1GAP2	Intron (ENST00000637138.1/23108, intron 3 of 25)	0.94629180127649	0.000149998014843233	-3900
ZFYVE28	Intron (ENST00000290974.7/57732, intron 1 of 12)	0.946263486596649	0.000995132635175734	11088
C17orf99	Promoter (<=1kb)	0.946249388990739	1.57370161580796e-05	0
IQANK1	Promoter (<=1kb)	0.946161848103283	0.000229542407252337	-59
FADS6	Promoter (<=1kb)	0.946149605707634	3.70936577397805e-06	0
TBKBP1	Promoter (<=1kb)	0.946139790610807	7.05734719418067e-05	0
AMZ2P1	Distal Intergenic	0.946100913633108	0.000305576990540753	-19135
FAM95C	Promoter (<=1kb)	0.945957766633489	7.74673162617282e-06	0
LINC01939	Exon (ENST00000427019.1/ENST00000427019.1, exon 2 of 2)	0.945844439104852	0.00440469697294634	-4185
LOC112268065	Promoter (<=1kb)	0.945767346733075	0.000831195746039155	0
ELFN1	Distal Intergenic	0.945758336398674	2.13400628021982e-05	-8139
CHST12	Distal Intergenic	0.945756817443796	8.38104239754765e-05	11883
CNGB1	Promoter (<=1kb)	0.945692592408199	3.90288499057345e-06	991
CBX8	Distal Intergenic	0.945671983283832	1.29106314601516e-05	-3142
MIR3681HG	Intron (ENST00000429878.2/105373430, intron 2 of 2)	0.945397759651897	0.0039940754172242	-10093
POLR2E	Promoter (2-3kb)	0.945335134596571	0.00333433663569356	-2906
HMX1	Distal Intergenic	0.945229912209193	1.75427775375878e-05	-42470
PHACTR3	Promoter (2-3kb)	0.945176650211577	7.00787218395675e-05	-2332
CYB561	Promoter (<=1kb)	0.945107175261719	0.00916501192448843	0
F11	Intron (ENST00000505103.5/285441, intron 1 of 3)	0.945018507152218	0.00363772388829045	19653
DRC7	Promoter (2-3kb)	0.944983960468101	0.000422782726213814	2576
GRTP1-AS1	Intron (ENST00000375431.9/79774, intron 5 of 7)	0.944964142977375	0.0018109470578289	-13288
ACE	Promoter (<=1kb)	0.944917250065708	9.92984033469839e-05	38
BLACE	Promoter (<=1kb)	0.944859064080493	9.15024935010765e-06	-566
LOC124900601	Promoter (<=1kb)	0.944762853981537	5.27304304076861e-06	0
KCNN1	Promoter (<=1kb)	0.94473902518438	1.8743456772764e-05	0
KNDC1	Distal Intergenic	0.944668586845375	6.17901092708471e-06	-15825
BEST2	Promoter (<=1kb)	0.944642001635742	1.85507462866955e-05	0
LRCOL1	Distal Intergenic	0.944545471538506	0.000477283772776952	3241
MIR6511B1	Promoter (<=1kb)	0.944532642729131	0.000595342519136428	0
SIGLEC5	Promoter (<=1kb)	0.944445946425269	0.000154969096334271	343
OR7E91P	Intron (ENST00000434990.1/ENST00000434990.1, intron 1 of 3)	0.94429915312085	0.000798014739998384	10447
CARMIL2	Promoter (<=1kb)	0.944296116005347	3.11787041208656e-05	0
SHANK2	5' UTR	0.944261657921059	0.000343727472299695	-50840
MYOM2	Distal Intergenic	0.944233619854742	3.18206331483276e-05	-33229
MRPL36	Distal Intergenic	0.944218100475483	2.00796044439217e-05	34383
TSPEAR-AS1	3' UTR	0.944070231764723	0.0012344828836426	-8034
ZNF469	Distal Intergenic	0.94402393765908	0.000439522265554146	-64146
IQSEC1	Intron (ENST00000648114.1/9922, intron 1 of 15)	0.943879812944345	0.00927499742554056	18183
TLX1	Promoter (1-2kb)	0.943816085019395	7.53753322233273e-05	1973
ADRA2C	Distal Intergenic	0.943757421087749	4.85213313274011e-06	3510
PCSK9	Promoter (<=1kb)	0.943700809650813	0.000237620322149968	0
LOC105371750	Distal Intergenic	0.943650998827203	2.15791442853803e-05	88380
PRAC1	Promoter (2-3kb)	0.943649657402187	0.000312183947346798	2082
RAB11B-AS1	Promoter (<=1kb)	0.943643204735748	5.31483067930834e-05	0
KCNH4	Promoter (<=1kb)	0.943638253235078	6.41893196942694e-06	570
APOC3	Promoter (<=1kb)	0.943534270725877	1.05822012115658e-05	0
HTRA3	Exon (ENST00000307358.7/94031, exon 4 of 9)	0.943408153595047	0.00011342805387458	20704
FGFR3	Distal Intergenic	0.943391784566609	0.000374718471255587	5337
RBFOX3	Intron (ENST00000693108.1/146713, intron 1 of 14)	0.943215842399005	4.6203604550787e-06	-27378
GAL	Distal Intergenic	0.943215085996798	3.27906991016422e-06	-23017
LMX1B-DT	Distal Intergenic	0.943096229139779	5.70543491030688e-05	23523
UNCX	Distal Intergenic	0.943051709626964	3.7707882354524e-05	-20535
LINC01977	Distal Intergenic	0.943050013786471	0.00077814530378933	-7200
MIR1-1	Promoter (<=1kb)	0.94289361188496	3.83145089118674e-05	0
DSCAML1	Intron (ENST00000651296.2/57453, intron 3 of 32)	0.942835764406304	0.00900766493252405	149587
ADCY5	Intron (ENST00000462833.6/111, intron 2 of 20)	0.942792519832783	0.0003116088889742	-20001
RALGPS2	Distal Intergenic	0.942773138425219	0.000679921993955562	59182
SCARF2	Promoter (<=1kb)	0.942684026414933	6.48764846579438e-05	0
FCGBP	Promoter (<=1kb)	0.942645366724619	8.90819570384864e-06	0
FBN3	Promoter (<=1kb)	0.942568522273195	4.69193149086957e-05	0
TERT	3' UTR	0.942547651026084	0.000209547298897015	4023
CAMTA1	Intron (ENST00000303635.12/23261, intron 11 of 22)	0.942500129466015	3.56473512269241e-06	9518
CFAP92	Promoter (<=1kb)	0.942440232326185	0.000282566422382303	0
GRM4	Promoter (<=1kb)	0.942391411268804	0.000469241924136019	-511
RGS14	Promoter (<=1kb)	0.942390440207191	7.87652953901324e-05	0
MAD2L2	5' UTR	0.942365152274846	1.77823545969966e-05	-10271
LINC01533	Intron (ENST00000663104.1/100996665, intron 4 of 4)	0.942344903586308	0.00327818152124892	21484
TTYH1	Distal Intergenic	0.942313852805956	0.00257859195586446	-4303
RET	Distal Intergenic	0.942303890175556	6.05821190963547e-06	-16928
MIR7152	Exon (ENST00000224721.12/64072, exon 42 of 70)	0.942263375329576	5.14757397532562e-06	-6326
ANTXRLP1	Exon (ENST00000604933.2/100996567, exon 5 of 14)	0.942256771311523	2.22306078350713e-05	4660
MIR4257	Promoter (<=1kb)	0.942237260011066	1.29741419788733e-05	0
LAMC3	Distal Intergenic	0.942168364308282	6.13171621341768e-05	-16760
ADAMTSL2	Promoter (2-3kb)	0.942018620064316	0.000275419320002469	2119
RBFOX3	Intron (ENST00000583458.5/146713, intron 3 of 13)	0.941917673577858	1.71168811896624e-05	13898
P2RX5	Promoter (<=1kb)	0.941892439776147	1.37326310221205e-05	-305
LINC02622	Intron (ENST00000646051.1/105378350, intron 3 of 4)	0.941753843443726	1.6668670991054e-05	99772
DDB1	Promoter (<=1kb)	0.941731405234493	4.95198895966685e-07	0
CDH5	Exon (ENST00000666324.1/ENST00000666324.1, exon 1 of 3)	0.941632307933975	2.14558765723029e-05	-36988
SYNDIG1	Promoter (<=1kb)	0.941504441929578	8.22332967952843e-05	0
PTENP1	Distal Intergenic	0.941451104763791	0.00528166578592195	9208
SAE1P1	Promoter (<=1kb)	0.941380773602559	0.00221719934709096	753
WNT7B	Intron (ENST00000339464.9/7477, intron 2 of 3)	0.941333037806242	0.0121759099907203	24230
GRIN2A	Promoter (<=1kb)	0.941292067885385	0.000426003242334039	0
LOC105372710	Intron (ENST00000618678.2/105372710, intron 2 of 2)	0.94115330303915	3.74164182078028e-05	7438
COL23A1	Exon (ENST00000521803.1/ENST00000521803.1, exon 1 of 2)	0.941145096358721	0.000117553293747215	-81294
LIPC	Intron (ENST00000356113.10/3990, intron 8 of 10)	0.94104701966973	5.87832232132143e-05	9791
ADGRD1-AS1	Promoter (<=1kb)	0.941009640755784	0.00099403492294062	0
NFAM1	Exon (ENST00000329021.10/150372, exon 3 of 6)	0.940889386080333	0.000591348899563929	22799
CA8	Intron (ENST00000317995.5/767, intron 7 of 8)	0.940846122009678	0.0143706851875224	11720
MRPL38	Promoter (<=1kb)	0.940743574557383	2.0067495359668e-05	0
LOC105371062	5' UTR	0.940663544896304	1.16573797470965e-05	-20608
SEPTIN9	Promoter (<=1kb)	0.940513363489907	2.94493331701968e-05	0
GAK	Intron (ENST00000314167.9/2580, intron 5 of 27)	0.940473623201389	0.000998718653834632	3676
LOC101927690	Intron (ENST00000556810.5/54916, intron 2 of 3)	0.940406840973907	0.017841568825684	-9329
ADGRL3	Promoter (<=1kb)	0.940273378026064	5.90087639579227e-05	0
LASP1	5' UTR	0.94024461863831	0.000608445722203135	3440
CACNG6	Promoter (1-2kb)	0.940118643969804	0.00140275868953571	-1376
LINC02923	Promoter (<=1kb)	0.939950706324975	2.53355120270237e-06	0
CLIC5	Intron (ENST00000185206.12/53405, intron 1 of 5)	0.939918706196316	0.00196216268071603	11948
KIF12	Distal Intergenic	0.939914373782973	0.000470779894934683	-25447
ACTE1P	Intron (ENST00000331301.8/399923, intron 2 of 2)	0.939852460445362	0.00344110243128215	4050
MUC4	Promoter (<=1kb)	0.939768181340676	3.68064239898336e-05	0
NKX2-2	Promoter (<=1kb)	0.939730204261531	2.98141262836347e-05	0
CFAP46	Intron (ENST00000368586.10/54777, intron 8 of 57)	0.939664054288243	0.00157429805776807	10821
ARFRP1	Promoter (<=1kb)	0.939605244954949	5.37722097373017e-05	0
COPS9	Distal Intergenic	0.939558481153189	0.00126095665457832	37651
KRTAP5-1	Promoter (1-2kb)	0.939397160086865	0.000746441043442327	1270
P2RX2	Promoter (2-3kb)	0.939364673481741	0.0009792445158111	-2778
LOC105372969	Distal Intergenic	0.939323606436343	0.00101473362071614	3325
MIR1199	Promoter (<=1kb)	0.939291167211446	4.60392092870402e-06	0
LINC01271	Distal Intergenic	0.939175783272738	0.000144335020719535	-24893
TMPRSS2	Promoter (1-2kb)	0.939142691971738	0.000111831023123913	-1491
PPP2R2C	3' UTR	0.939076537307133	4.30238271986854e-05	7861
LINC01377	Distal Intergenic	0.93907455652728	0.000297998308837289	-24778
LOC105371925	Promoter (<=1kb)	0.939024508831527	0.0098865258672719	0
ITFG2-AS1	Exon (ENST00000538799.1/ENST00000538799.1, exon 1 of 1)	0.938992425923151	0.016666241943934	22603
CASZ1	Promoter (<=1kb)	0.938970811613712	7.2293635498654e-05	616
LCN2	Promoter (2-3kb)	0.938944267125861	0.000114278767814538	-2231
STK32C	Intron (ENST00000368622.5/282974, intron 1 of 11)	0.9387629650038	0.000113754944451363	11903
QRICH2	Promoter (<=1kb)	0.938673532207679	8.51983460426487e-05	428
LINC01529	Promoter (<=1kb)	0.938659832558009	0.016472318326918	0
LOC124903533	Promoter (<=1kb)	0.938658127720719	0.00026432096528509	0
ANKRD20A5P	Distal Intergenic	0.938609112528544	0.000228519244957528	-4165
PLXNB2	Promoter (1-2kb)	0.938472707089073	0.00054606365843438	1713
NXN	Intron (ENST00000336868.8/64359, intron 1 of 7)	0.938428465564103	3.09093854293361e-05	-15383
C1orf167	Promoter (<=1kb)	0.938395287294033	5.59677980691402e-06	0
CACNG8	Promoter (<=1kb)	0.938294240891248	6.20574217658254e-05	642
NRXN2	Promoter (<=1kb)	0.938281900493154	0.000143751383138343	394
C15orf32	Promoter (1-2kb)	0.938212211432416	6.06259426722652e-05	1985
NYNRIN	Exon (ENST00000382554.4/57523, exon 3 of 9)	0.938161020670833	0.000160571453067392	-3348
UBE2QL1	Intron (ENST00000399816.4/134111, intron 1 of 1)	0.938139971115646	0.000290654124004575	17456
LINC01237	Promoter (1-2kb)	0.938090987891767	2.76805321321033e-05	-1205
TMEM132B	Intron (ENST00000682704.1/114795, intron 1 of 8)	0.938057900610244	0.000315499796792614	-27043
ARID1B	Distal Intergenic	0.938056959216154	5.83514470892887e-05	23144
PRPF8	Promoter (<=1kb)	0.938030373242076	0.00025229900268026	0
SBK2	Promoter (<=1kb)	0.937861683715295	6.62805958696175e-05	0
PCSK4	Promoter (<=1kb)	0.937704134798242	3.46765994379666e-05	0
RPS6KA2-AS1	Promoter (<=1kb)	0.937635717236988	1.84701424360259e-05	0
C7orf50	Promoter (2-3kb)	0.937567447923599	0.000798958247644204	2319
GNA11	Promoter (<=1kb)	0.937564553284204	0.000343764775040535	0
FOXL3-OT1	Distal Intergenic	0.937337012867815	0.00012252886890779	10827
LINC01081	Intron (ENST00000602425.2/101154687, intron 1 of 7)	0.93733465885376	0.00129707034659091	6422
PLCB2	Promoter (<=1kb)	0.937282612992165	1.90309634829038e-06	0
HES4	Promoter (1-2kb)	0.937103391006863	0.000113754944451363	1959
KCNK9	Intron (ENST00000522317.5/51305, intron 1 of 3)	0.937095809338904	0.00384318663184837	-23835
EPS8L2	Promoter (1-2kb)	0.937021361379219	0.000326634072262763	1305
ODC1-DT	Distal Intergenic	0.93701508589808	1.98902520301429e-05	45387
PCMTD2	Exon (ENST00000659024.1/4661, exon 8 of 17)	0.937009607687147	4.93559465249836e-05	-42480
FXR1	Exon (ENST00000460917.1/ENST00000460917.1, exon 1 of 1)	0.936987627047943	0.00191727997109195	-37917
ADARB2-AS1	Intron (ENST00000381312.6/105, intron 1 of 9)	0.936959631067872	0.00320494473533788	-47411
